index,Author Summary
54,"We obtained 546 complete responses through a two-wave data collection process. The data indicate that most of our participants were male (86.7%). This proportion is similar to that of the local player population, in which 83% of players are male (GNN, 2016). Most participants were aged = 30 years (82.1%), had a college/university level education or higher (91.4%), and had an income = NT $600,000.00 (79.5%). Most participants had played the focal game for = 5 years (91.1%), showed weekly gameplay hours of < 21 h (87.7%), and had a skill level of gold or below (91.7%). Table 4 shows the demographic profile of the participants. However, the total numbers shown in Table 4 are not always equal to the total collected sample size due to some missing values in the profile data."
55,"As shown in Fig. 2 and Table 5, our structural model explains significant variances in the endogenous constructs: 57% in competence satisfaction, 49% in autonomy satisfaction, 26% in relatedness satisfaction, 49% in game continuance, and 11% in game usage. We suppose that 11% may be adequate, as game usage may be easily affected by schoolwork or workplace and family responsibilities. Moreover, the well-known phenomenon of the intentionsingle bondbehavior gap predicts a high discount in transforming intention to behavior (Fennis et al., 2011)."
56,"We performed the usual bootstrapping process, i.e., 5000 resamplings at the typical significance level of.05 (Nusair et al., 2024). Although not all the path coefficients in our structural model have significant coefficients, the bootstrapping results indicate that all the mediations are significant. This is reasonable, as the bootstrapping method is designed to test the interactions of the path coefficients. Therefore, a single large path coefficient can result in a significant interaction among path coefficients. All the mediation coefficients are significant, justifying the importance of the chosen mediators in our model. Moreover, our model shows that most (but not all) paths have significant coefficients, giving game makers useful insights into game achievability and game immersibility, but not focusing on game creatability."
57,"In total, we received 213 complete responses, which were screened in multiple steps, resulting in 206 valid responses. We excluded 1 response from South Africa, as it was from outside of Europe, and removed 6 responses for inattentive responding (< 0.5 sd in the responses) or for responding at a speed that would be impossible to do attentively (< 5 min). The sample was then examined for missing data. We found two missing values for USE_3 (see Appendix C, Table C1), which were imputed with the median value of the item. Finally, we screened the remaining responses that failed the attention-trap question. We found sufficient variance in their answers, and the respondents took a sufficiently long enough time (> 10 min) to complete the survey. Demographic information about the respondents (n = 206) can be found in Table 1. As can be seen from the table, the survey responses were collected from top management (61), middle management (65), lower management (51), and experts (29). Table 2 depicts information about the companies of the respondents."
58,"In total, we received 213 complete responses, which were screened in multiple steps, resulting in 206 valid responses. We excluded 1 response from South Africa, as it was from outside of Europe, and removed 6 responses for inattentive responding (< 0.5 sd in the responses) or for responding at a speed that would be impossible to do attentively (< 5 min). The sample was then examined for missing data. We found two missing values for USE_3 (see Appendix C, Table C1), which were imputed with the median value of the item. Finally, we screened the remaining responses that failed the attention-trap question. We found sufficient variance in their answers, and the respondents took a sufficiently long enough time (> 10 min) to complete the survey. Demographic information about the respondents (n = 206) can be found in Table 1. As can be seen from the table, the survey responses were collected from top management (61), middle management (65), lower management (51), and experts (29). Table 2 depicts information about the companies of the respondents."
59,"We then proceeded with the CFA by evaluating the fully correlated measurement model. As the first step in assessing the indicator and construct validities, we examined the standardized item loadings for the constructs. All loadings were statistically significant (p < 0.001) and above the recommended 0.707 threshold (Fornell & Larcker, 1981), except for one RESI item, which had a loading of 0.689. Thus, this item was dropped from subsequent analyses. The constructs, items, and their means, standard deviations, and standardized factor loadings are presented in Appendix C (Table C1). Next, we used the Master Validity plug-in of Gaskin et al. (2019) to analyze the discriminant validity of our measurement model (Table 3). According to Fornell and Larcker (1981), the composite reliability (CR) value of all constructs should be above 0.7, the average variance extracted (AVE) should be above 0.5 and larger than the maximum shared variance (MSV), and the square root of each AVE should be larger than all other correlations with the other variables. The CR, AVE, MSV, and square root of the AVE (bolded in diagonal) are reported in Table 3. As can be seen, our data fit all the aforementioned criteria, indicating sufficient convergent and discriminant validity for our model."
60,"We opted to evaluate the model fit for the measurement and path models using the CFI, SRMR, and RMSEA measures. This is in line with the recommendations of Hair et al. (2014), who suggested that model fit should be evaluated with at least one absolute fit measure (e.g., SRMR and RMSEA) and one incremental fit index (e.g., CFI). The suggested cutoffs for these fit measures are = 0.95 for CFI, = 0.08 for SRMR, and = 0.08 for RMSEA, along with > 0.05 for its PClose (Hair et al., 2014). As shown in Table 4, the measurement model?s values were excellent for all of these fit indices. The model?s normed chi-square (?2/df) was 1.515, which falls within the suggested range of 1?3 (Hair et al., 2014). The chi-square test was statistically significant (p < 0.05), indicating poor fit with the data; however, this is common with complex models and larger sample sizes (Schermelleh-Engel et al., 2003). Moreover, Hair et al. (2014) recommend that this measure should not be examined independently but in the context of other model fit measures. As all the other model fit indices were excellent, we can conclude that the measurement model fit the data well. After we moved on to the hypothesis-testing phase, we also evaluated the path model?s fit. Again, the measures were still excellent except for CFI (0.946), which was still close to excellent fit, but within acceptable range (= 0.9) nonetheless."
61,"Four out of twelve of the paths were significant at the p < 0.001 level, two at the p < 0.01 level, and one at the p < 0.05 level. Seven out of the twelve hypotheses were thus supported (see Table 5). For the statistically significant paths, the effect directions (positive or negative) were as hypothesized in the research model (Fig. 1). Thus, the research model had overall empirical support."
62,"Besides testing for the direct effects of each antecedent, we also carried out additional mediation analysis by testing for the indirect effects of the six TOE-based antecedents on organizational XR adoption intention via the perceived organizational value of XR and expected employee resistance to XR constructs. In addition, we tested whether the effect of expected employee resistance to XR on organizational XR adoption intention was mediated via the perceived organizational value of XR. This analysis was carried out using the latent mediation estimand and the Indirect Effects plugin created by Gaskin et al. (2020). The statistically significant paths are presented in Table 6. Mimetic pressure?s effect on organizational XR adoption intention was strongly mediated via the perceived organizational value of XR (? = 0.206; p < 0.001). Organizational support (? = 0.088; p < 0.01), employee technology use skills (? = 0.069; p < 0.05), and trialability (? = 0.047; p < 0.05) had a positive mediated effect on organizational XR adoption intention via expected employee resistance to XR. Other indirect effects were statistically insignificant (p > 0.05)."
63,"Table 1 displays socially accepted risk profiles (for sources, see S.I.2. Comparison data). In food safety, the U.S. Food and Drug Administration (FDA) maintains a Food Defect Levels Handbook, which specifies that it accepts around 7% of defect samples (mainly mold and insect-infestations). About 15% of U.S. citizens contract foodborne illnesses annually, while severe harm is much less common (some 3000 die each year). The U.S. Food Safety and Inspection Service (FSIS) accepts 7.5% of salmonella-positive chicken carcasses and ground beef samples, with harm levels below 0.5% and around 420 U.S. deaths annually. General consumer goods have a different profile. Tracking the number of faulty products sold per year, the U.S. Dept. of Commerce only recalls 0.1%. Their accumulation and frequent use hurts 2%- 4% of U.S. citizens annually. In between these extremes is the risk profile of sports. In soccer, 1 in 32 ball possessions leads to a potentially dangerous foul (3.1%), and 1.5% of U.S. players end up injured. Another extreme is the risk profile of cigarettes. While each cigarette is risky and severe harm levels are notably higher (some 10% die from lung cancer or cardiovascular disease), it is surprising to many that these trackable risks are not life-threatening to some 90% of smokers."
64,"As our analysis aims at bridging measures from computer science, information science, medicine, and the psychological and social sciences, we prioritized expected values and simple conditional probabilities over higher-order meta-analytic statistics (Higgins et al., 2019, Petticrew and Roberts, 2008, Uman, 2011). We still achieve the meta-analytic goal of systematically synthesizing independent studies to calculate an overall effect (Egger and Smith, 1997, Shorten and Shorten, 2013). Table 2 presents the simple framework that conditions algorithmic recommendation output on different kinds of input. While all included studies (N = 151) report the percentage of ?bad? recommendations (first column: X%, Y%, or Z%), we only obtain data on ?good? recommendations for 62 studies (see Table 3). This means that we can distinguish between ?bad? and ?not bad? recommendations for all 151 audits (which is what we will do for most of our analyses), and distinguish between ?good?, ?other/neutral?, and ?bad? for a subgroup of studies (see section ?Recommending utility content?)."
65,"As our analysis aims at bridging measures from computer science, information science, medicine, and the psychological and social sciences, we prioritized expected values and simple conditional probabilities over higher-order meta-analytic statistics (Higgins et al., 2019, Petticrew and Roberts, 2008, Uman, 2011). We still achieve the meta-analytic goal of systematically synthesizing independent studies to calculate an overall effect (Egger and Smith, 1997, Shorten and Shorten, 2013). Table 2 presents the simple framework that conditions algorithmic recommendation output on different kinds of input. While all included studies (N = 151) report the percentage of ?bad? recommendations (first column: X%, Y%, or Z%), we only obtain data on ?good? recommendations for 62 studies (see Table 3). This means that we can distinguish between ?bad? and ?not bad? recommendations for all 151 audits (which is what we will do for most of our analyses), and distinguish between ?good?, ?other/neutral?, and ?bad? for a subgroup of studies (see section ?Recommending utility content?)."
66,"Drawing from the research questions, a range of keywords were identified for the database searches, including ?mobile phone,? ?smart phone,? ?augmented reality,? ?distraction,? and ?multi-tasking.? In line with prior studies (Agarwal et al., 2019, Borges et al., 2021, Yan et al., 2021), Web of Science (WoS) and Scopus were identified as appropriate databases to obtain relevant and reliable journal articles across disciplines (see Table 1). To determine the eligibility of articles, inclusion and exclusion criteria were created in line with PRISMA guidelines (Massaro et al., 2016, Moher et al., 2009, Tranfield et al., 2003), see Fig. 2. Inclusion criteria included i) journal articles investigated mobile or AR technologies, and distraction or multi-tasking, involving customers (i.e., consumption context), ii) journal articles published in English, iii) journal articles published in high-ranking outlets (Scimago Q1 or Q2), iv) journal articles published since 2016 (to ensure the technology studied is up to date), v) journal articles empirical in nature, and vi) full-text versions accessible. The full exclusion criteria included i) publications merely mentioning distraction or multi-tasking, ii) publications where the focus was not on a customer-related experience, iii) publications in other than high-ranking journal articles, and iv) non-empirical research articles."
67,"Three focus groups were conducted (between 5 and 8 participants per session) to examine specific issues (Krueger, 2014). The sessions lasted between 60 and 90 min. The participants were recruited in Spain, following a non-probabilistic, purposive approach. The composition of a focus group should have a certain degree of homogeneity to avoid huge differences in opinion emerging, but it should also be diverse enough to promote discussion and generate useful information (Phillippi & Lauderdale, 2018). As prior knowledge of cultural events can influence participants? perceptions and evaluation of an experience (Lobuono et al., 2016), we selected people with similar levels of knowledge about the cultural event under consideration, but with different characteristics in terms of age, gender, and willingness to adopt new technologies. The focus groups were run until the saturation criterion was met (Malterud et al., 2016). The composition of the focus groups is shown in Table 1."
68,"Analyses of the reliability and convergent validity of the scales were conducted using SmartPLS 4.0 software. The factorial loadings of the indicators exceeded the minimum recommended level of 0.70 (except one, see Appendix B; Hair et al., 2011). The composite reliability of the constructs and the average variance extracted (AVE) values were also higher than the recommended minimum levels (Hair et al., 2011) (see Appendix B). Discriminant validity was assessed based on the criteria of Fornell and Larcker (1981) and heterotrait-monotrait ratios (Kline, 2011), with both approaches returning satisfactory values (see Table 3)."
69,"In this study, exploratory factor analysis and confirmatory factor analysis were used to test the dimensions and items of the evaluation index system for structural validity, convergent validity and discriminant validity. The KMO value of the indicator system is 0.922 > 0.7, Bartlett's test: X2 is 2817.8, p < 0.001, which shows that the indicator system has good structural validity. Table 2 demonstrates the rotated factor loading coefficients after adjustment and deletion in this study. The four factors extracted were named by combining the connotation of each variable; factor 1 was the value of health information content, factor 2 was the reliability of mobile social media, factor 3 was the trustworthiness of health information content, and factor 4 was the interactivity of mobile social media. From the results of principal component extraction, it can be seen that the cumulative explained variance of the extracted 19 question items is 77.31 %, which indicates that the four factors extracted from the 19 question items have a better explanation for the original data."
70,"According to the four-factor model derived from the exploratory factor analysis, the validated factor analysis of the mobile social media health information quality evaluation scale was conducted on the survey questionnaire data using Amos23 software. The results showed (see Table 3) that the factor loadings of the dimensions of interactivity of mobile social media, reliability of mobile social media, the trustworthiness of health information content, and value of health information content ranged from 0.748 to 0.883, 0.781 to 0.908, 0.771 to 0.858, and 0.693 to 0.911, respectively, which were all greater than 0.6, indicating that each of their latent variables corresponding to the AVEs of each dimension were 0.6987, 0.7162, 0.6686, and 0.7118, all of which were greater than 0.6; the combined reliability CRs were 0.8737, 0.9095, 0.8896, and 0.9516, all of which were greater than 0.8, indicating ideal convergent validity."
71,"The final weight and the scores of the four dimensions of the WeChat official accounts' health information quality evaluation system were derived to give a quantitative evaluation of the current situation of WeChat official accounts' health information quality; see Table 5. The total average score of WeChat official accounts health information quality in this empirical study was 48.24, among which the score of the WeChat official accounts subject interaction dimension was 45.20, the score of the WeChat official accounts reliability dimension was 59.95, the score of the content credibility dimension was 28.32, and the score of the information content value dimension was 53.55. It is clear that the quality of health information on WeChat official accounts is generally low, especially the lowest score of content credibility, and the future improvement of health information quality on WeChat official accounts should be promoted from the aspect of content credibility."
72,"To minimise the drop-out rate, we included information about the purpose of the research in the survey, together with a statement guaranteeing the anonymity of the respondents. In addition, we offered some small incentives, such as mugs and umbrellas featuring the university logo, and, at the end of the survey, awarded these to randomly selected participants. To reduce the occurrence of missing values, the participants were required to give their responses to all questions/statements before they could progress to the next page/end of the survey (otherwise, a notification would pop up). Regarding the sample characteristics, 51.5 % were women, 76 % of the total were under 45 years of age, 46.5 % had studied at the higher education level and 63.8 % were in employed work. Table 4 presents the sample characteristics."
73,"Prior to conducting further data analyses, we assessed the multivariate assumptions of normality, linearity, multicollinearity and homoscedasticity [98]. The results of the one-sample Kolmogorov-Smirnov test [99], presented in Table 5, indicate the absence of normal distribution [99], since all 2-tailed asymptotic significance values were 0.000?that is, less than 0.05 [82,96]. Hence, we opted for PLS-SEM in this study because it has been shown to be robust under conditions of non-normality [100]."
74,"We performed an ANOVA to test the linearity of the relationships between variables [100,82], the results of which are presented in Table 6. The results show that there are linear relationships between the dependent (use intention) and independent variables, since all p-values are below 0.05. However, seven out of the eight relationships reveal a statistically significant deviation from linearity, which justified the use of the ANN model?a nonlinear artificial intelligence technique that reflects the structure and operation of the human brain. The only exception was the relationship between price value and use intention, albeit its p-value (0.054) was very close to the significance threshold (0.05)."
75,"Multicollinearity is a problem of high correlation between independent variables [101]. The results of the multicollinearity test performed on our model (see Table 7) indicate that there were no issues of multicollinearity, since all the Variance Inflation Factor (VIF) values were in the range of 1.065?3.562 (i.e., less than 10), and the tolerances were all higher than 0.10 [93,99]."
76,"We evaluated the measurement model by analysing its reliability and convergent and discriminant validity. The reliability analysis included three indicators of internal consistency: Cronbach's alpha (CA; [102]), the Rho coefficient and composite reliability (CR; [103]). The values for all three tests were above the recommended minimum value of 0.7. We assessed CR using average variance extracted (AVE). The AVE indicates the amount of variance a variable obtains from its indicators relative to the amount of variance caused by measurement error. All the AVE values were above the recommended minimum value of 0.5 [104]. Table 8 lists these values for each variable, along with the mean of each item and the outer loadings (i.e., the loads estimated for the relationships in reflective measurement models)."
77,"In this study, the presence of nonresponse bias was detected. To address this issue, we conducted a multigroup analysis, following the approach outlined by Hair et al. [105]. We compared the group of respondents who completed the survey promptly (within the first 5 days of issue) with the group of respondents who completed it later. The results indicated that there were no statistically significant differences between these two groups in terms of all variables (p > 0.05). Consequently, it can be concluded that the potential impact of nonresponse bias on the sample data is likely to be minimal or negligible [106]. Next, we assessed discriminant validity by comparing the squared AVE with the intercorrelation scores. Discriminant validity is achieved if the squared AVE of a variable is greater than the intercorrelation with other variables [107]. We further checked discriminant validity by applying the heterotrait-monotrait (HTMT) ratio. Henseler et al. [108] suggest that a HTMT ratio score above 0.90 indicates a discriminant validity issue. The HTMT ratio scores were all below the threshold, indicating that discriminant validity was achieved (see Table 9)."
78,"First, we tested the research hypotheses by comparative analysis of the coefficients obtained by OLS, using IBM SPSS v20 as a simulation tool. The results, presented in Table 10, confirm that none of the initial eight hypotheses derived from the extended UTAUT2 model could be rejected?that is, that all eight predictors have a statistically significant influence on the dependent variable (use intention). The most influential predictors according to the OLS findings are performance expectancy (?PE?UI=0.321, p-value=0.000), effort expectancy (?EE?UI=0.177, p-value=0.000) and facilitating conditions (?FC?UI=0.150, p-value=0.000), followed by hedonic motivation (?HM?UI=0.120, p-value=0.000), subjective norms (?SN?UI=0.100, p-value=0.000) and habit (?HAB?UI=0.112, p-value=0.000). The least influential predictors as per OLS are risk (?PRISK?UI= -0.084, p-value=0.000) and price value (?PRI-VAL?UI=0.065, p-value=0.006). We assessed the quality of the OLS model using the values of adjusted R2 (which was 0.724) and normalised root mean squared error (RMSE), which was 0.1292. Both values are acceptable, meaning that OLS can be accepted as a valid baseline model."
79,"We also assessed the predictive ability of the model by determining the squared multiple correlation coefficient (R2). The R2 value for use intention was 0.708, meaning that it explains a high proportion of the variance of the model. Furthermore, we examined the standardised root mean square residual (SRMR) value [108] to test the difference between the observed correlation and the predicted correlation as an indicator of model fit. A value of less than 0.08 is considered acceptable. The model proposed in this study yielded a value below this threshold (0.046). We also evaluated effect size (f2) after reviewing research from Chin [109], who indicated that f2 values of 0.02?0.15, 0.15?0.35 and 0.35 or higher suggest that an independent or exogenous latent variable has a small, moderate or large effect, respectively, on a dependent latent variable. The relationship between the variables in the present study was found to exert a significant effect, and the lowest value with regard to f2 pertained to the relationship between perceived value and use intention. Finally, we assessed the predictive relevance of the model using Stone-Geisser's Q2 value. According to Chin [109], a model demonstrates good predictive relevance when its Q2 value is greater than zero. Thus, the present value can be considered adequate. Table 10 summarises all of these results."
80,"One of the potential problems associated with ANNs is overfitting [86], which occurs when the model ?memorises? data from the training sample and loses the ability to generalise when used with previously unseen data. To avoid this problem, we performed 10-fold cross validation [[95], [115]]. A common measure of the prediction accuracy of ANN models is RMSE [91,99] (Table 11). The low RMSE values presented in Table 11 indicate good reliability and high prediction accuracy for the proposed model [101,50]. Finally, we further evaluated the performance of the ANN model by determining its goodness-of-fit coefficient R2 [116,100], using the following formula: where   is the variance of the desired output. The value R2 = 0.957 indicates that the ANN acceptance model explains 95.7 % of the variance of use intention (model output), which is a significant improvement on the PLS-SEM results."
81,"Finally, we performed a sensitivity analysis of the ANN model to determine the importance of each predictor. The importance of a predictor measures the significance of the changes in the output caused by changes in different predictors [62]. The normalised importance is calculated by dividing the importance values of each predictor by the largest importance value [91]. Values for the relative and normalised importance of the ANN model are presented in Table 12."
82,"The most significant predictor of use intention is PE (average importance: 0.256), followed by EE (0.175), FC (0.134) and HM (0.104), which is in line with SEM-PLS findings. Next, the ANN model predicts that SN (0.099) has a more significant impact than HAB (0.089), which differs from SEM-PLS results. Finally, the two least influential predictors were PRISK (0.087) and PRI-VAL (0.057), which was also predicted by SEM-PLS findings. These minor differences between the ANN and SEM-PLS findings can be explained by the higher prediction accuracy of the ANN model and its capacity to consider any nonlinear relationships among the variables [[50], [62]]. A detailed comparison of OLS, SEM-PLS and ANN findings is presented in Table 13 [117]."
83,"Table 14 presents a comparison of similar research studies related to m-payment that have employed the UTAUT2 model as a theoretical framework. As can be seen, the results are aligned with the recent proposals of Al-Okaily et al. [120] and Migliore et al. (2020), which reinforces the generalisability of the findings obtained."
84,"In the experiment, participants were presented with a recommendation provided by DA and were asked to make a decision regarding the promotion of a candidate to a sales manager position. The decision specifically focused on choosing between a female candidate and a male candidate. This scenario aimed to simulate the use of algorithms in real-world promotion decisions, which have significant implications for individuals? lives and careers [108]. To ensure that the sample met the requirements of our study, we included a screening question asking participants about their roles in their respective firms. Participants who did not have managerial roles were excluded from the analysis. This decision was based on the understanding that managers are typically the primary users of DA tools and are responsible for accepting or rejecting the recommendations provided by such tools. The characteristics of the final sample are presented in Table 2."
85,"SPSS 26 was used to conduct the analyses. Cronbach's alphas, composite reliabilities, correlations, descriptive statistics, and the square roots of average variance extracted (diagonal values) are provided in Table 3. The item loadings associated with the constructs are presented in Table 4. To evaluate the presence of common method bias, we performed a marker-variable analysis [110]. We used extraversion as the marker variable, as it is theoretically not related to the variables in the research model. The average correlation between the marker variable and the main variables in the research model was 0.018, suggesting that common method bias was unlikely to exist in the data. To examine the manipulation check for ?just recommendation? versus ?unjust recommendation against women,? we used ANOVA. The results showed that participants in the ?just recommendation? treatment group reported a mean score of 4.35 (SD = 1.53), whereas participants in the ?unjust recommendation? treatment group reported a mean score of 5.31 (SD = 1.45) for the manipulation check question assessing the perception of unjust treatment toward the female candidate. The difference between the two groups was statistically significant (P < 0.05). Therefore, the manipulation of algorithmic injustice was successful."
86,"SPSS 26 was used to conduct the analyses. Cronbach's alphas, composite reliabilities, correlations, descriptive statistics, and the square roots of average variance extracted (diagonal values) are provided in Table 3. The item loadings associated with the constructs are presented in Table 4. To evaluate the presence of common method bias, we performed a marker-variable analysis [110]. We used extraversion as the marker variable, as it is theoretically not related to the variables in the research model. The average correlation between the marker variable and the main variables in the research model was 0.018, suggesting that common method bias was unlikely to exist in the data. To examine the manipulation check for ?just recommendation? versus ?unjust recommendation against women,? we used ANOVA. The results showed that participants in the ?just recommendation? treatment group reported a mean score of 4.35 (SD = 1.53), whereas participants in the ?unjust recommendation? treatment group reported a mean score of 5.31 (SD = 1.45) for the manipulation check question assessing the perception of unjust treatment toward the female candidate. The difference between the two groups was statistically significant (P < 0.05). Therefore, the manipulation of algorithmic injustice was successful."
87,"We performed a hierarchical logistic regression analysis in SPSS 26 to examine (1) the impact of algorithmic injustice on making a discriminatory decision and (2) the moderating role of displacement of responsibility and trust in DA outcomes on that association. The results, presented in Table 5, indicated that the impact of algorithmic injustice on discrimination (H1) was statistically significant (P < 0.001). While the moderating effect of displacement of responsibility on the relationship between algorithmic injustice and discrimination (H3) was not significant, trust in DA outcomes showed a significant moderating effect on the impact of algorithmic injustice on discrimination (P < 0.05) (H5). The findings also demonstrated that the control variables did not have a significant impact on making algorithmically informed, discriminatory decisions. Next, we ran an analysis of covariance (ANCOVA) to examine the effect of discrimination on the perception of guilt (H2). The results indicated that the effect was not significant (P = 0.19), supporting H2. We then added two interaction terms to the ANCOVA model to test the moderating effect of displacement of responsibility on the relation between discrimination and guilt (H4) as well as the moderating impact of trust in DA outcomes on that association (H6). The results showed that while H4 was not significant (P = 0.87), H6 was marginally significant (P = 0.08). In summary, while H1, H2, and H5 were supported, H3 and H4 were not supported, and H6 was partially supported."
88,"Second, we performed a confirmatory factor analysis (CFA). We examined the reliability, convergent validity, and discriminant validity of the latent reflective constructs. The composite reliability (CR) was above the recommended 0.70 threshold [91]. The average variance extracted (AVE) for all constructs exceeded the suggested 0.50 threshold [28], thereby demonstrating good reliability and internal consistency (Table 4), except for our control variable, social desirability (AVE = 0.475). Because social desirability slightly falls below the 0.50 threshold but has a CR of 0.729, we kept social desirability in our model (cf. [28]). All indicators loaded significantly on their latent constructs, and standardized loadings exceeded the required minimum of 0.700, indicating good convergent validity, except for social desirability (Appendix D). In addition, we tested the discriminant validity of the constructs. Since the square root of the AVE of each construct exceeded the squared interconstruct correlations, each construct explained more variance in its indicators than it shared with other constructs (Table 4). "
89,"In addition, all heterotrait?monotrait (HTMT) ratios of correlations (Table 5) were below the 0.85 threshold [36], suggesting no discriminant validity problems. We also examined variance inflation factor (VIF) values to test for multicollinearity in our data. The highest VIF value was between inferences of manipulative intent and mistrust in seal authority (i.e., 3.146), falling below a threshold of 5.0, suggesting that our data are not subject to a severe multicollinearity issue [62]. To assess model fit, we used four metrics [70]: the ??/degrees of freedom (df) ratio, the root mean squared error of approximation (RMSEA), the comparative fit index (CFI), and the Tucker?Lewis index (TLI). Common thresholds for acceptable model fit are ??/df < 3, RMSEA < 0.80, CFI and TLI > 0.90 [32,42]. The CFA model yielded an acceptable model fit (??/df = 2.329; RMSEA = 0.042; CFI = 0.943; TLI = 0.939)."
90,This study set out to identify and empirically test the antecedents and consequences of skepticism toward web seals. We conducted an online experiment to test the proposed hypotheses in a cloud service market context. Our results support the harmful effects of skepticism toward consumers? perception of IS providers (Table 6) and particularly emphasize the central role of seal authority incredibility in the nomological net. This study uncovers skepticism as a critical boundary condition for the effectiveness of web seals because skepticism can lead to the opposite effect of what is intended with them.
91,"The impact of the brand reputation gap on firms? profits is non-monotonic. Specifically, there exists a win-win region within which both firms? profits increase when the brand reputation gap increases (see Table 1 for details)."
92,"We have the following findings, which are consistent with previous ones:1 Firm H sets a higher price in the first period than in the second period when  . Firm L always sets a higher price in the second period than in the first period. 2 Firm H always sets a higher price than firm L in the first period but a lower price in the second period. 3 The profit of firm H is higher than that of firm L ( ) only when the price effect is weak?that is,  . As the price effect strengthens, the profit difference decreases ( ). Here, . 4 As the brand reputation gap increases, the profit difference increases ( ) except when, and this effect is mitigated as the price effect increases ( ). 5 The impact of the brand reputation gap on firms? profits is non-monotonic. Specifically, there exists a win-win region within which both firms? profits increase when the brand reputation gap increases (see Table C1 for details)."
93,"We have the following major findings, which are basically consistent with previous ones: 1 Firm H always sets a higher price than firm L in the first period but a lower price in the second period. 2 The profit of firm H is higher than that of firm L ( ) only when the price effect is weak?that is,  . Here,  3 The impact of the brand reputation gap on firms? profits is non-monotonic. Specifically, there exists a win-win region within which both firms? profits increase when the brand reputation gap increases (see Table D1 for details)."
94,The dimensionality of the constructs was confirmed through an initial exploratory principal components analysis with varimax rotation. The results (Table 4) did not suggest that any items needed to be dropped as all factor loadings were above 0.60 and average variance extracted values were all above 0.50 (Table 4). 
95," Moreover, as per Harman's one factor test, the first factor did not account for a majority of variance, only 14.5 %, suggesting no concerns over common method bias [67,94]. In addition, we considered the marker variable approach to test for common method bias [79]. We selected self-reported experience in management accounting as a marker because it is likely to be subject to a similar disproportionate response or acquiescence bias as other variables, such as levels of BI use and performance. However, it is not expected to be theoretically or statistically related to other model variables. When the marker variable was included as an additional determinant of the dependent variables, the significance of path coefficients did not change, providing further assurance that common method bias was not substantial [79]. Cronbach's alpha was used to measure internal consistency of the multi-item scales and found to be greater than 0.70 for all constructs. This provides support for convergent validity and reliability of our scales. To confirm discriminant validity, we compared inter-construct correlations with the square root of AVE of each construct. The square roots of AVE of each construct are presented along the diagonal of Table 5. These are shown as larger than the inter-construct correlations (i.e., constructs share more variance with their own items than with other constructs in the model). In addition, the HTMT ratios were calculated, and results indicate that the ratios are less than 0.85 [52]. Therefore, discriminant validity was confirmed."
96,"A Mann-Whitney comparison of users in the high advanced use subgroup with those in the low advanced use subgroup reveals significant differences across all model variables, except self-efficacy (Table 6). The mean rank for users classified as high advanced users was higher on all four system attributes, and in BI contribution to performance. These users also ranked significantly higher in task complexity."
97,The structural model was tested using AMOS with results reported in Table 7 indicating 17 out of 22 hypothesized paths were directly supported by the model being tested.
98,"System quality (p < 0.001), data quality (p < 0.01), information quality (p < 0.001), and service quality (p < 0.05) were all found to have positive significance effects on routine use. Furthermore, system quality (p < 0.001), data quality (p < 0.05), information quality (p < 0.001), and service quality (p < 0.01) were all found to have positive significance influence on advanced use, with effect sizes larger for advanced use than routine use, thus supporting H1a, H1b, H3a, H3b, H5b, H5c, H7a, and H7b. To further confirm the effects, we ran additional multiple regressions with bootstrap resampling to determine the overlap, if any, among confidence intervals. As shown in Table 8, we confirm no overlapping confidence intervals for effects of DQ and IQ providing added support to H3b and H5c. Although there is some overlap in confidence intervals for the effects of SQ and SQa, the overlap is not more than 50 % of the confidence interval range, thus giving us confidence to support H1b and H7b that their effects are greater on advanced use than on routine use. We also considered data quality to have additional indirect effects on BI use through effects on information quality. The effect of data quality on information quality is significant, supporting H5a."
99,"We considered the model's goodness of fit, the significance of the path coefficients, and the sign of the path to reach conclusions about moderation [48]. The results (Table 9) indicate that the complexity of the management accountant's tasks increases their opportunity to use the BI system innovatively to support their management accounting function (p < 0.001). Task complexity also has a moderating effect on routine use and performance (p < 0.05). The relationship between use and performance is moderated by task complexity, but the moderating effect is weaker for routine use, supporting both H13a and H13b. This confirms that the more complex the tasks of management accountants, the stronger will be the effect of advanced use on performance. This supports the importance of using the advanced features of the BI system to improve performance under conditions of greater task complexity."
100,"In the third step, which refers to Level 2c in the approach of [19] , the interviews were then coded in two different rounds within a parallel deductive and inductive approach. Within the former, we used our first-order research elements (i.e., the psychological factors from the status quo bias theory) for confirmatory coding of the raw case protocol. After that, in the second coding round, inductive coding was used on the statements extracted within the deductive first round to identify the concrete contextual manifestations of those bias-inducing factors. For instance, the sentence ?I think most people have seen the movie ?The Terminator?, right? I mean, the underlying idea as such was well-intentioned, but if it gets out of hand, if you lose control at some point, you're going to have a huge problem? (Interviewee 24, translated) was labeled with the code ?anchoring effects? in the first round and then with the contextual element ?Portrayal of AI in Hollywood movie (?The Terminator?)? in the second round. These contextual manifestations function as the second-order research elements in this study and the presentation of its results (cf. Fig. 2 and Table 3 in the results section)."
101,"After the participants were given their specific manipulations, they answered manipulation-check questions. These questions enabled us to determine whether participants remembered and understood the manipulations they were given. Table 4 shows the number of samples, means, and standard deviations for each variable. We provided manipulation checks in the following two ways."
